site,title,url,1,2
1,广东省人民政府关于划定台山核电厂规划限制区的批复,http://www.gd.gov.cn/zwgk/wjk/qbwj/yfh/content/post_4731879.html,,2025-06-23
1,广东省人民政府办公厅关于印发广东省促进经济持续向好服务做强国内大循环工作方案的通知,http://www.gd.gov.cn/zwgk/wjk/qbwj/yfb/content/post_4732698.html,,2025-06-24
1,广东省人民政府关于《佛山市高明区国土空间总体规划（2021—2035年）》的批复,http://www.gd.gov.cn/zwgk/wjk/qbwj/yfh/content/post_4738779.html,,2025-07-03
1,广东省人民政府关于《佛山市南海区国土空间总体规划（2021—2035年）》的批复,http://www.gd.gov.cn/zwgk/wjk/qbwj/yfh/content/post_4738786.html,,2025-07-03
1,广东省人民政府关于《佛山市三水区国土空间总体规划（2021—2035年）》的批复,http://www.gd.gov.cn/zwgk/wjk/qbwj/yfh/content/post_4738805.html,,2025-07-03
1,广东省人民政府关于《佛山市顺德区国土空间总体规划（2021—2035年）》的批复,http://www.gd.gov.cn/zwgk/wjk/qbwj/yfh/content/post_4738817.html,,2025-07-03
1,广东省人民政府办公厅关于严格规范涉企行政检查的实施意见,http://www.gd.gov.cn/zwgk/wjk/qbwj/yfb/content/post_4738821.html,,2025-07-03
1,广东省人民政府关于印发《广东省促进服务消费高质量发展若干措施》的通知,http://www.gd.gov.cn/zwgk/wjk/qbwj/yfh/content/post_4670330.html,,2025-02-20
1,广东省人民政府办公厅关于印发广东省推动人工智能与机器人产业创新发展若干政策措施的通知,http://www.gd.gov.cn/zwgk/wjk/qbwj/yfb/content/post_4678912.html,,2025-03-10
1,广东省人民政府办公厅关于印发《广东省促进银发经济高质量发展增进老年人福祉实施方案》的通知,http://www.gd.gov.cn/zwgk/wjk/qbwj/yfb/content/post_4680526.html,,2025-03-13
1,广东省人民政府关于禁止在广东新丰抽水蓄能电站工程占地及淹没区范围内新增建设项目和迁入人口的通告,http://www.gd.gov.cn/zwgk/wjk/qbwj/yfh/content/post_4680529.html,,2025-03-13
1,广东省人民政府关于废止和修改部分省政府规章的决定,http://www.gd.gov.cn/zwgk/wjk/qbwj/yfl/content/post_4685103.html,,2025-03-22
1,广东省人民政府办公厅关于印发广东省交通运输高质量发展三年行动方案（2025—2027年）的通知,http://www.gd.gov.cn/zwgk/wjk/qbwj/yfb/content/post_4685334.html,,2025-03-24
1,广东省人民政府关于印发广东省非现场执法管理办法的通知,http://www.gd.gov.cn/zwgk/wjk/qbwj/yf/content/post_4686209.html,,2025-03-25
1,广东省人民政府关于废止粤府函〔2020〕56号文件的公告,http://www.gd.gov.cn/zwgk/wjk/qbwj/yfh/content/post_4691605.html,,2025-04-03
1,广东省人民政府办公厅关于印发广东省气象灾害应急预案的通知,http://www.gd.gov.cn/zwgk/wjk/qbwj/ybh/content/post_4698729.html,,2025-04-18
1,广东省人民政府关于委托深圳市实施一批与河套深圳园区相关的省级行政职权的决定,http://www.gd.gov.cn/zwgk/wjk/qbwj/yf/content/post_4699276.html,,2025-04-18
1,广东省人民政府关于将一批省级行政职权调整由广州市南沙区实施的决定,http://www.gd.gov.cn/zwgk/wjk/qbwj/yfl/content/post_4699265.html,,2025-04-18
1,广东省人民政府办公厅印发广东省关于进一步深化投融资体制改革若干举措的通知,http://www.gd.gov.cn/zwgk/wjk/qbwj/yfb/content/post_4701859.html,,2025-04-25
1,广东省人民政府办公厅关于印发《广东省人民政府2025年度立法工作计划》的通知,http://www.gd.gov.cn/zwgk/wjk/qbwj/yfb/content/post_4701868.html,,2025-04-25
1,广东省人民政府办公厅关于印发广东省森林火灾应急预案的通知,http://www.gd.gov.cn/zwgk/wjk/qbwj/ybh/content/post_4702761.html,,2025-04-27
1,广东省人民政府关于废止一批文件的决定,http://www.gd.gov.cn/zwgk/wjk/qbwj/yf/content/post_4703577.html,,2025-04-28
1,广东省人民政府办公厅关于印发《广东省进一步激发市场主体活力加快建设现代化产业体系的若干措施》的通知,http://www.gd.gov.cn/zwgk/wjk/qbwj/yfb/content/post_4705347.html,,2025-04-30
1,广东省人民政府办公厅关于印发广东省提振消费专项行动实施方案的通知,http://www.gd.gov.cn/zwgk/wjk/qbwj/yfb/content/post_4707145.html,,2025-05-07
1,广东省人民政府办公厅关于印发广东省进一步促进创业投资高质量发展行动方案的通知,http://www.gd.gov.cn/zwgk/wjk/qbwj/ybh/content/post_4712035.html,,2025-05-16
1,广东省人民政府办公厅关于延用《广东省电子印章管理暂行办法》的通知,http://www.gd.gov.cn/zwgk/wjk/qbwj/ybh/content/post_4712039.html,,2025-05-16
1,广东省人民政府关于省政府领导班子分工的通知,http://www.gd.gov.cn/zwgk/wjk/qbwj/yf/content/post_4718739.html,,2025-05-30
1,广东省人民政府关于梅州市部分饮用水水源保护区划分调整方案的批复,http://www.gd.gov.cn/zwgk/wjk/qbwj/yfh/content/post_4615349.html,,2024-12-13
1,广东省人民政府关于清远市部分饮用水水源保护区划分调整方案的批复,http://www.gd.gov.cn/zwgk/wjk/qbwj/yfh/content/post_4615361.html,,2024-12-13
1,广东省人民政府关于珠海市唐家湾镇等5个历史文化名镇、名村保护规划的批复,http://www.gd.gov.cn/zwgk/wjk/qbwj/yfh/content/post_4615363.html,,2024-12-13
1,广东省人民政府关于公布第四批广东省历史文化名村和第五批广东省历史文化街区名单的通知,http://www.gd.gov.cn/zwgk/wjk/qbwj/yfh/content/post_4637327.html,,2024-12-23
1,广东省人民政府关于印发《广东省2024—2025年节能降碳行动方案》的通知,http://www.gd.gov.cn/zwgk/wjk/qbwj/yf/content/post_4637336.html,,2024-12-23
1,广东省人民政府关于禁止在北江干流治理工程占地范围新增建设项目和迁入人口的通告,http://www.gd.gov.cn/zwgk/wjk/qbwj/yfh/content/post_4640367.html,,2024-12-27
1,广东省人民政府关于禁止在清远市黄茅峡水库工程占地及淹没区范围新增建设项目和迁入人口的通告,http://www.gd.gov.cn/zwgk/wjk/qbwj/yfh/content/post_4640369.html,,2024-12-27
1,广东省人民政府关于省政府领导班子分工的通知,http://www.gd.gov.cn/zwgk/wjk/qbwj/yf/content/post_4640557.html,,2024-12-27
1,广东省人民政府办公厅关于延长《广东省职工基本医疗保险门诊共济保障实施办法》有效期的通知,http://www.gd.gov.cn/zwgk/wjk/qbwj/ybh/content/post_4642028.html,,2024-12-30
1,广东省人民政府办公厅关于印发广东省房屋建筑和市政基础设施工程事故应急预案的通知,http://www.gd.gov.cn/zwgk/wjk/qbwj/ybh/content/post_4642773.html,,2024-12-31
1,广东省人民政府关于表扬第47届世界技能大赛我省获奖选手和为参赛工作作出突出贡献的单位及个人的通报,http://www.gd.gov.cn/zwgk/wjk/qbwj/yfh/content/post_4642783.html,,2024-12-31
1,广东省水产苗种管理办法,http://www.gd.gov.cn/zwgk/wjk/qbwj/yfl/content/post_4650888.html,,2025-01-08
1,广东省旅馆业治安管理规定,http://www.gd.gov.cn/zwgk/wjk/qbwj/yfl/content/post_4651332.html,,2025-01-09
1,广东省人民政府关于复制推广中国（广东）自由贸易试验区第九批改革创新经验的通知,http://www.gd.gov.cn/zwgk/wjk/qbwj/yfh/content/post_4653705.html,,2025-01-13
1,广东省人民政府印发《关于高质量发展资本市场助力广东现代化建设的若干措施》的通知,http://www.gd.gov.cn/zwgk/wjk/qbwj/yfh/content/post_4658385.html,,2025-01-21
1,广东省人民政府办公厅关于印发广东省有效降低全社会物流成本实施方案的通知,http://www.gd.gov.cn/zwgk/wjk/qbwj/yfb/content/post_4658869.html,,2025-01-22
1,广东省人民政府办公厅关于印发广东省加快建设生物制造产业创新高地行动方案的通知,http://www.gd.gov.cn/zwgk/wjk/qbwj/ybh/content/post_4661586.html,,2025-01-26
1,广东省人民政府办公厅印发《关于推动制造业与生产性服务业深度融合发展的若干措施》的通知,http://www.gd.gov.cn/zwgk/wjk/qbwj/ybh/content/post_4666546.html,,2025-02-11
1,广东省人民政府关于调整我省最低工资标准的通知,http://www.gd.gov.cn/zwgk/wjk/qbwj/yfh/content/post_4668031.html,,2025-02-14
